gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0.4272461,-2.6245117,-2.319336,-0.06823475,-0.051475335,-9.829395
0.36621094,-2.6245117,-2.319336,-0.062249243,-0.055066638,-9.8437605
0.30517578,-2.6245117,-2.380371,-0.076614454,-0.062249243,-9.828198
0.30517578,-2.6245117,-2.380371,-0.06584055,-0.075417355,-9.827001
0.36621094,-2.5634766,-2.380371,-0.06943185,-0.075417355,-9.829395
0.36621094,-2.6245117,-2.380371,-0.061052144,-0.06464344,-9.836577
0.30517578,-2.6245117,-2.319336,-0.062249243,-0.06703765,-9.846154
0.36621094,-2.746582,-2.380371,-0.06344634,-0.059855044,-9.837775
0.36621094,-2.6855469,-2.319336,-0.05626374,-0.06344634,-9.837775
0.36621094,-2.5634766,-2.4414062,-0.06823475,-0.06703765,-9.841366
0.36621094,-2.6855469,-2.2583008,-0.05746084,-0.06344634,-9.841366
0.36621094,-2.6245117,-2.319336,-0.061052144,-0.06584055,-9.828198
0.36621094,-2.746582,-2.319336,-0.06584055,-0.05865794,-9.841366
0.36621094,-2.6245117,-2.4414062,-0.06344634,-0.059855044,-9.836577
0.24414062,-2.6245117,-2.380371,-0.06344634,-0.05746084,-9.830592
0.4272461,-2.6245117,-2.4414062,-0.06344634,-0.06464344,-9.8437605
0.4272461,-2.6855469,-2.319336,-0.061052144,-0.059855044,-9.840169
0.36621094,-2.6855469,-2.4414062,-0.061052144,-0.05865794,-9.844957
0.36621094,-2.746582,-2.380371,-0.059855044,-0.059855044,-9.841366
0.24414062,-2.6855469,-2.380371,-0.061052144,-0.05865794,-9.836577
0.30517578,-2.6245117,-2.380371,-0.05865794,-0.05626374,-9.841366
0.36621094,-2.6855469,-2.4414062,-0.061052144,-0.06943185,-9.841366
0.4272461,-2.6855469,-2.4414062,-0.06464344,-0.06703765,-9.831789
0.36621094,-2.6855469,-2.380371,-0.06464344,-0.053869538,-9.821015
0.36621094,-2.6855469,-2.380371,-0.059855044,-0.059855044,-9.838972
0.36621094,-2.6855469,-2.380371,-0.06943185,-0.050278235,-9.825804
0.36621094,-2.746582,-2.319336,-0.05865794,-0.05746084,-9.838972
0.4272461,-2.6245117,-2.380371,-0.062249243,-0.05267244,-9.840169
0.30517578,-2.6855469,-2.319336,-0.07062895,-0.053869538,-9.828198
0.36621094,-2.6855469,-2.380371,-0.05746084,-0.053869538,-9.840169
0.36621094,-2.6855469,-2.4414062,-0.062249243,-0.061052144,-9.8437605
0.30517578,-2.746582,-2.380371,-0.05865794,-0.061052144,-9.846154
0.30517578,-2.6855469,-2.380371,-0.06464344,-0.06703765,-9.848549
0.4272461,-2.5634766,-2.319336,-0.06943185,-0.05865794,-9.842564
0.36621094,-2.6855469,-2.319336,-0.073023155,-0.05746084,-9.8437605
0.36621094,-2.6855469,-2.380371,-0.06823475,-0.05626374,-9.830592
0.4272461,-2.6245117,-2.380371,-0.06464344,-0.05267244,-9.831789
0.4272461,-2.6245117,-2.380371,-0.05746084,-0.05746084,-9.835381
0.4272461,-2.6855469,-2.319336,-0.06344634,-0.05865794,-9.846154
0.30517578,-2.6245117,-2.380371,-0.06823475,-0.06823475,-9.846154
0.30517578,-2.6855469,-2.2583008,-0.062249243,-0.077811554,-9.849746
0.4272461,-2.6855469,-2.319336,-0.059855044,-0.06464344,-9.849746
0.4272461,-2.6245117,-2.380371,-0.06703765,-0.06584055,-9.846154
0.36621094,-2.6855469,-2.380371,-0.073023155,-0.06464344,-9.849746
0.36621094,-2.6245117,-2.380371,-0.073023155,-0.049081136,-9.827001
0.4272461,-2.6855469,-2.319336,-0.05865794,-0.045489833,-9.844957
